agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
100,4,0.3992626452819,822.7666666667,2015,0,4.0
5,5,0.3650730103254,166.6333333333,2015,0,4.0
100,5,0.679454497993,823.7,2015,0,4.0
5,6,0.2233326584101,163.4333333333,2015,0,4.0
100,6,0.3095218800008,825.4666666667,2015,0,4.0
5,7,2.456158161163,163.4666666667,2015,0,4.0
100,7,3.666491755284,826.2666666667,2015,0,4.0
5,8,6.618785820901,163.6,2015,0,4.0
100,8,6.52101130411,826.5333333333,2015,0,4.0
5,9,5.863453745842,166,2015,0,4.0
100,9,3.57381729316,827.2666666667,2015,0,4.0
5,10,3.745472699404,165.6666666667,2015,0,4.0
100,10,2.218710977584,828.0333333333,2015,0,4.0
5,11,3.360957764089,162.9,2015,0,4.0
100,11,2.833098724484,828.8333333333,2015,0,4.0
5,12,5.473859667778,160.0333333333,2015,0,4.0
100,12,3.984588295221,830.5333333333,2015,0,4.0
5,1,4.55396130681,160.3,2016,0,4.0
100,1,3.390229144134,829,2016,0,4.0
5,2,2.634020671248,161.6666666667,2016,0,4.0
100,2,2.569802035578,828.5333333333,2016,0,4.0
5,3,1.117575019598,163.3,2016,0,4.0
100,3,1.399709382094,825.7666666667,2016,0,4.0
5,4,0.2944141924381,165.3,2016,0,4.0
100,4,0.4865880366415,825.1333333333,2016,0,4.0
5,5,0.1471477597952,165.3666666667,2016,0,4.0
100,5,0.3982300870121,824.9,2016,0,4.0
5,6,3.440633676946,166.2,2016,0,4.0
100,6,3.374308649451,825.7,2016,0,4.0
5,7,3.838293619454,168,2016,0,4.0
100,7,4.799134097993,823.9333333333,2016,0,4.0
5,8,6.097851723433,167.6,2016,0,4.0
100,8,4.820336310193,822.8333333333,2016,0,4.0
5,9,6.196324974298,166.9,2016,0,4.0
100,9,2.918340867385,821.3,2016,0,4.0
5,10,4.958050459623,166.8666666667,2016,0,4.0
100,10,2.89976080507,822.3666666667,2016,0,4.0
5,11,7.175719231367,164.4666666667,2016,0,4.0
100,11,3.349029912613,824.6666666667,2016,0,4.0
5,12,5.682097285986,162.7333333333,2016,0,4.0
100,12,3.906660117209,825.3,2016,0,4.0
5,1,2.980200052261,163.3,2017,0,4.0
100,1,2.961968662217,825.6333333333,2017,0,4.0
5,2,1.711170017719,163.5333333333,2017,0,4.0
100,2,1.622287742794,824.9666666667,2017,0,4.0
5,3,0.5140844881535,165.6666666667,2017,0,4.0
100,3,0.8567728549242,823.6333333333,2017,0,4.0
5,4,0.6668696478009,164.2,2017,0,4.0
100,4,0.4284384455532,823.5333333333,2017,0,4.0
5,5,0.1480730175972,164.3333333333,2017,0,4.0
100,5,0.2063229251653,825.5666666667,2017,0,4.0
5,6,0.5152248367667,165.3,2017,0,4.0
100,6,0.4251345405355,829.9333333333,2017,0,4.0
5,7,1.349907517433,162.2333333333,2017,0,4.0
100,7,3.523109482601,832.2666666667,2017,0,4.0
5,8,3.666806101799,159.2666666667,2017,0,4.0
100,8,6.765469685197,834.4333333333,2017,0,4.0
5,9,3.363350778818,159.1666666667,2017,0,4.0
100,9,2.772779986262,833.7,2017,0,4.0
5,10,2.278794489801,154.8333333333,2017,0,4.0
100,10,2.267441924661,837.0666666667,2017,0,4.0
5,11,4.654793128371,151.6,2017,0,4.0
100,11,3.071731913835,839.7,2017,0,4.0
5,12,8.040721088648,149.8,2017,0,4.0
100,12,3.883903793991,839.5333333333,2017,0,4.0
5,1,2.205914139748,154.4333333333,2018,0,4.0
100,1,2.66075039655,841.3666666667,2018,0,4.0
5,2,1.250267624855,155.7,2018,0,4.0
100,2,1.563913363963,840.2,2018,0,4.0
5,3,0.3103081882,156.8333333333,2018,0,4.0
100,3,0.6662169788033,840.0666666667,2018,0,4.0
5,4,0.2287445068359,159.5666666667,2018,0,4.0
100,4,0.1595089593902,839.0333333333,2018,0,4.0
5,5,0.6967126429081,157.1666666667,2018,0,4.0
100,5,0.6093731448054,838.5666666667,2018,0,4.0
5,6,0.3874734789133,157,2018,0,4.0
100,6,0.6542260665447,836.8666666667,2018,0,4.0
5,7,1.860662698746,156.9333333333,2018,0,4.0
100,7,3.055610982701,836.1666666667,2018,0,4.0
5,8,2.473528146744,157.4,2018,0,4.0
100,8,5.873730272055,836.8333333333,2018,0,4.0
5,9,3.139291055501,158.9,2018,0,4.0
100,9,3.574158065021,837.4,2018,0,4.0
5,10,3.169879369438,157.3666666667,2018,0,4.0
100,10,2.554782181978,838.1666666667,2018,0,4.0
5,11,3.483402624726,160.6666666667,2018,0,4.0
100,11,3.247666329145,839.1666666667,2018,0,4.0
5,12,9.820292040706,162.3,2018,0,4.0
100,12,3.23445255775,838.8333333333,2018,0,4.0
5,1,2.620803542435,171.7666666667,2015,0,2.0
100,1,2.575189550407,826.8,2015,0,2.0
5,2,4.125901266932,171.0333333333,2015,0,2.0
100,2,3.353638866916,823.5333333333,2015,0,2.0
5,3,3.369672000408,169.7,2015,0,2.0
100,3,3.05117072165,821.4333333333,2015,0,2.0
5,4,3.456303119659,168.9666666667,2015,0,2.0
100,4,2.755611458793,821.2333333333,2015,0,2.0
5,5,2.078750953078,169.7333333333,2015,0,2.0
100,5,2.134502872825,820.8,2015,0,2.0
5,6,2.476057335734,167.0666666667,2015,0,2.0
100,6,2.281157447025,821.3666666667,2015,0,2.0
5,7,2.258934006095,166.9666666667,2015,0,2.0
100,7,2.508895331994,824.4,2015,0,2.0
5,8,3.976822607219,168.2666666667,2015,0,2.0
100,8,2.560680633411,826.7333333333,2015,0,2.0
5,9,4.00313359499,170.2,2015,0,2.0
100,9,3.858940267935,829.2,2015,0,2.0
5,10,4.446846276522,169.6333333333,2015,0,2.0
100,10,4.40006442368,829.5333333333,2015,0,2.0
5,11,4.128642581403,173.8666666667,2015,0,2.0
100,11,3.532970398664,826.5,2015,0,2.0
5,12,3.56231212616,177.6,2015,0,2.0
100,12,2.784572504461,825.8,2015,0,2.0
5,1,3.417602926493,178,2016,0,2.0
100,1,3.127564656548,828.6,2016,0,2.0
5,2,3.423133336008,181.2666666667,2016,0,2.0
100,2,2.964139247313,829.1333333333,2016,0,2.0
5,3,3.411840341985,181.8666666667,2016,0,2.0
100,3,3.053901821375,828.6666666667,2016,0,2.0
5,4,3.483847439289,181.6,2016,0,2.0
100,4,2.466712206602,828.6333333333,2016,0,2.0
5,5,2.599050544202,182.5666666667,2016,0,2.0
100,5,2.586463734508,827.9,2016,0,2.0
5,6,3.070592418313,182.2666666667,2016,0,2.0
